Bulk_2	X1_C01	X1_C02	X1_C03	X1_C08	X1_C15	X1_C17	X1_C18	X1_C19	X1_C22	X1_C23	X1_C27	X1_C29	X1_C30	X1_C31	X1_C34	X1_C37	X1_C38	X1_C40	X1_C41	X1_C42	X1_C49	X1_C51	X1_C61	X1_C65	X1_C67	X1_C75	X1_C81	X2_C03	X2_C05	X2_C06	X2_C07	X2_C10	X2_C14	X2_C15	X2_C16	X2_C18	X2_C19	X2_C21	X2_C22	X2_C23	X2_C25	X2_C27	X2_C29	X2_C34	X2_C42	X2_C49	X2_C51	X2_C53	X2_C55	X2_C56	X2_C57	X2_C59	X2_C63	X2_C64	X2_C67	X2_C69	X2_C70	X2_C71	X2_C72	X2_C73	X2_C74	X2_C75	X2_C79	X2_C86	X2_C87	X2_C95
10578	3.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10631	81.13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.47	0	0	0	0	0	127.36	0	0	492.87	0	0	1111.63	0	0	0	0	0	0.57	135.64	0	0	0	0	3.48	0	0	0	0	0	0	0	0	0	2	366.21	260.25	0	0	0	0	0	0	0	0	0	0	0
10666	0	0	0.89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19.92	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10855	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	204.34
10859	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
10875	3.66	0	0	0	0	0	0	0	0	0	0	0	0.86	0.59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.84	0	0	0	0	0	0	0	0	0	258.41	0	0	0	0	0	0	0	0	0	0	0	0	0	0.15	0	0
10916	143.51	0	0	0	0	23.4	13.06	4.51	0	0	1.71	124.49	0	0	0	0	0	0	25.52	293.74	69.79	0	112.1	0	0	1.38	60.96	297.93	218.08	0	49.39	791.47	102.87	6.49	47.69	0	57.45	533.02	2.29	73.22	0	0	2.13	2.09	18.85	63.23	0	53.52	0	516.45	0	0	10.89	39.5	0	28.33	3.34	0	0	14.62	6.33	66.55	2.89	0	9.95	14.65	0
10951	31.11	135.49	11.1	7.51	97.61	26.91	25.22	1.94	0	2.39	0	2.57	53.63	0	0	0	126.39	6.53	72.22	33.47	168.61	0	0	0	621.61	372.61	0	19.81	179.75	16.26	0	0	21.6	2.52	0	172.95	16.47	0	109.15	4.45	54.18	31.3	46.41	48.95	0	0	77.19	42.27	0	81.52	0	0	0	0	138.98	36.33	18.08	60.45	0	19.54	51.95	17.61	45.7	2.76	5.48	5.63	22.52
10982	70.96	0	65.75	0	0	0.64	0	3.02	0	130.45	0	2.24	0	29.03	0	0	0	0	0	0	0	0	4.92	0	0	0	0.44	0	21.43	33.06	0	20.75	351.03	0	0	0	0	144.99	0	405.38	0.88	0	59.74	0	0	0	0	9.98	0	0	0	0	5.17	10.37	0	48.94	18.14	0	0	0	0	0	0	0	0	8.86	0
10993	1.09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11006	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
11031	65.21	0	0.9	0	0	98.11	0	0	0	0	0	128.65	0	8.35	0	0	0	0	0	98.19	1215.21	0	412.28	0	0	94.01	0	0.29	354.1	109.08	0	71.22	279.09	0	0	0	0	75.29	0	526.17	0	0	0	0	0	124.86	0	0	66.25	0	232.13	0	0	0	0	126.45	0	0.73	0	0	0	0	0	7.71	0	135.74	0
1108	13.03	0	0	1.17	0	0	276.13	10.81	0	0	22.85	26.89	67.87	64.37	0	0	186.89	4.8	170.82	0	45.1	0	36.37	77.66	13.38	62.51	134.77	39.29	106.52	41.16	0	0	0	24.6	0	0	5.81	5.15	0	5.35	189.84	0	62.37	0	0	0	170.46	0	0.5	19.45	0	0.33	0	750.92	0	115.49	19.48	0.89	0	8.65	38.73	83.95	0.18	25.41	1.23	1.04	0
11117	2.51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11138	12.29	0	0	0	0	0	10.14	0	0	0	0	0	46.76	0	0	0	0	6	0	109.73	0	0	0	0	0	0	0	0	0	37.57	32.22	0	0	13.32	0	4.7	4.5	0	0	0	22.06	0	0	0	0.7	0	0	0	0	0	0	0	0	0	0	0	0	16.45	0	11.43	0	0	0.64	0	0	0	0.85
11151	0	1.59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17.93	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11167	204.78	0	47.99	0	0	82.17	0	0	0.7	0	0	0.3	0	637.09	0	4.34	0	0	0	605.73	147.36	124.31	441.84	0	36.42	256.85	0	0	51.55	1.41	0	16.53	190.8	0	298.89	0	0	0	592	279.73	0	0	99.07	6.38	0.44	0	0	1.8	6.37	12.28	40.26	0	8.86	98.08	313.8	455.14	2.7	0.49	11.02	0	0	0.67	0	0	0	34.95	0
11178	4.16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.45	0	0	0	0	0	42.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11198	57.79	114.67	203.89	8.88	0	231.41	175.53	100.62	350.65	246.7	539.06	437.77	701.27	5.75	211.69	16.67	15.1	62.97	230.71	12.11	6.09	0	541.7	215.71	2.97	1.04	13.65	0	277.99	117.37	250.73	4.31	74.68	9.64	0	94.04	181.88	3.08	73.01	165.02	214.86	0	292.73	4.66	312.94	55.9	141.25	52.13	551.33	574.02	300.56	117.2	0	23.34	16.08	14.77	524.32	295.31	58.4	111	651.31	1098.98	95.6	0	9.66	6.33	148.58
