Bulk_2	1_C01	1_C02	1_C03	1_C08	1_C15	1_C17	1_C18	1_C19	1_C22	1_C23	1_C27	1_C29	1_C30	1_C31	1_C34	1_C37	1_C38	1_C40	1_C41	1_C42	1_C49	1_C51	1_C61	1_C65	1_C67	1_C75	1_C81	2_C03	2_C05	2_C06	2_C07	2_C10	2_C14	2_C15	2_C16	2_C18	2_C19	2_C21	2_C22	2_C23	2_C25	2_C27	2_C29	2_C34	2_C42	2_C49	2_C51	2_C53	2_C55	2_C56	2_C57	2_C59	2_C63	2_C64	2_C67	2_C69	2_C70	2_C71	2_C72	2_C73	2_C74	2_C75	2_C79	2_C86	2_C87	2_C95
861	5.39	0	0	0	0	25.7	0	0	0	0	0	22.27	0	49.48	0	0	0	0	0	12.08	0	1.76	51.37	0	0	157.48	0	0	56.83	13.74	0	0	34.39	0	0	0	0	0	0	98.26	0	0	4.65	0	0	0	27.37	0	63.42	0	14.89	0	0	0	280.02	89.74	0	0	0	0	0.57	0	0	0	0	0	0
6297	3.45	0	0	0	0	0	11.33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47.45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6503	7.84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24.11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9854	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.78	0	28.83	0	0	0	0	0	0	0	0	0
23220	2.18	0	0	0	0	0	0	74.29	17.85	0	39.39	0	0.64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
301	624.86	2668.94	94.74	0	100.6	0	180.08	5.85	0	589.24	0	0	5.39	210.44	0	0	0	1.69	0	763.85	2164.2	0	13.93	93.33	349.45	0	1610	2.04	1203.7	0	0	76.99	2275.44	0	250.11	0	11.19	97.26	26.36	4391.64	258.96	863.87	545.12	0	0	6.32	3.59	19.64	5769.79	0	55.1	0	0	546.9	2.92	3370.6	0	143.24	0	0	0	86.85	427.51	216.36	1258.96	321.54	26.94
56937	12.28	0	1.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.34	8.2	0	23.17	0	0	0	0.8	0	0	64.36	0	0	0	0	0	181.44	0	2.58	0	0	5.44	0	0	0	0	0	0	0	4.59	0	0	0.62	0	0	0	0	3.66	0	0	0	0	0	0	0	0
83439	0	0	109.38	0	0	0	27.95	0	0	0	0	0.63	0	70.07	0	0	0	0	0	0	0.89	0	17.77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.62	1.25	0	9.74	0	0	0	0	0.94	0	0	4.76	0	0	0	12.12	12.75	0	0	0	0	0	0	0	0	0	0	0
5118	222.89	0	0	0	0	139.42	0	0	0	15.95	0	20.82	0	25.03	0	0	0	0	5.38	32.52	0	12.79	3.56	0	0	0	0	0	417.44	0	0	365.71	298.87	31.78	0	9.87	0	2.21	0	705.99	297.43	7.12	0	0	0	0	83.05	0	5.56	0	248.51	0	0	0	601.58	384.17	140.19	0	0	0	0	0	3.05	0	0	10.69	0
64092	13.27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
54587	8.39	0	7.24	0	0	0	0	0	0	0	0	0	0	306.74	0	0	0	0	0	73.28	0	0	0	0	0	43.51	0	0	80.07	28.22	0	0	90.28	0	0	0	0	108.19	19.13	88.5	0	0	70.95	0	0	0	49.41	0	0	0	154.81	0	0	2.95	53.02	3.09	0	0	68.02	0	0	6.11	1.19	0	0	0	0
834	44.24	0	0	0	0	0	30.03	0	0	0	0	0	0	0	0	0	475.7	0	12.14	0	0	0	0	0	0	0	0	0	0	0	250	0	0	0	0	386.68	8.9	0	0	0	89.02	0	0	0	0	0	8.07	0	0	0	0	0	0	0	0	0	0	0	8.14	0	0	0	0	0	0	0	0
8655	339.82	1126.85	62.19	1514.8	2434.71	0	28.64	194.77	578.76	1300.74	212.62	1099.22	382.17	0	580.14	953.11	82.92	2506.88	141.66	1746.8	49.48	0	1093.16	4.1	0	0	671.09	980.5	2224.95	455.32	794.14	186.14	126.2	1297.3	1516.97	886.94	656.19	2534.45	596.56	564.15	855.42	193.34	190.96	211.56	0	198.18	453.64	894.18	1245.44	58.48	1640.84	288.04	116.01	406.33	390.14	1831.89	979.93	976.12	559.1	493.12	658.72	1045.08	1007.64	469.17	379.8	665.62	52.16
8460	21.33	0	0	1.3	1.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	78.12	0	0	0	0	15.41	0	0	0	0	0	28.33	78.69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4837	665.94	0	200.22	0	0	638.45	0	0	230.2	0	0	278.64	0	2835.32	0	0	0	0	0	272.65	0	146.49	0	0	2083.61	2294.51	0	0	2433.86	1107.09	0	0	445.63	0	0	0	0	0	216.93	766.82	0	0	0	0	16.04	0	0	0	302.21	0	644.09	0	6.53	191.51	534.13	852.34	40.03	0	27.33	0	320.23	40.36	73.68	0	0	371.08	0
7456	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.61	0	0	1.03	20.02	0	0	0	0	0	0	12.19	0	0	0	84.91	0	0	0	4.62	20.13	0	0	0	0	0	0	0	0	0	2.41	0	0	0	0	0	0	0	0
50615	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4082	315.07	1.79	89.71	84.25	1.64	160.28	26.27	47.93	0	163.11	92.9	655.64	0	0	0	0.61	0	174.9	128.96	2099.24	78.79	0	581.46	32.04	1107.98	0.54	122.77	0	517.95	62.21	0	1043.55	414.91	0	244.45	43.9	59.26	1505.55	27.45	793.59	0	0	599.12	497.35	406.53	0	28.92	283.55	895.08	1.92	111.75	0	100.62	131.85	253.08	1237.54	63.77	0	913.4	138.11	0	0	151.51	0	0.44	280.91	0
7805	38.04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4237	378.06	61.8	0	0	0	0	328.89	2095.54	2059.41	43.31	22.17	177.18	0	0	15.73	0	268.69	7.74	0	822.86	0	0	0	525.83	0	39.83	1738.87	11.67	2360.91	490.04	6.77	0	28.44	0	0	9.73	0	0	0	45.89	14.25	688.51	9.03	64.94	88.47	45.61	2268.75	331.2	849.54	450.11	552.83	269.07	0	170.99	715.95	142.46	586.74	103.36	0	81.39	0	132.08	0	16.34	424.62	10.55	3.93
642	35.73	0	0	0	6.58	0	0	0	0	0	0	29.68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16.67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	108.32	0	0	0	87.07	0	0	0	0	0	336.39	0	0	0	0	0	0	0
55340	5.95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
84707	20.76	0	0	0	0	0	0	0	0	211.63	0	0	0	0	0	0	157.35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	301.43	0	0	101.97	0	0	0	0	0	0	0	0	0	162.71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11343	51.49	0	281.39	8.78	0	0	0	0	0	0	0	0.39	0	0	0	0	0	0	0	0	0	0	177.68	0	0	0	0	0	0	0	0	89.79	0	0	0	27.8	0	0	0	0	0	49.21	0	0	0	0	0	9.43	0	0	0	0	216.37	0	0	0	0	0	0	0	0	0	9.97	0	0	0	0
6602	0	14.19	0	0	0	4.3	0	11.54	0	0	0	4.85	0	0	0	0	0.53	0.7	0	0	0	0	0	0	0	0	0.49	0	0	0	0	0	0	0	0	87	0	0	0	0	1.13	0	0	0	0	0	0	0	0	45.26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
259173	11.05	84.61	0	0	0	0	0	0	0	0	0	0	56.23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	78.35	0	0	0	0	0	0	0	0	0	0	74.45	0	0	0	0	0	0	0	0	0	0.93
9940	1.18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	68.05	2.82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3268	3.46	0	0	0	0	0	0	52.49	0	0	0	0	2.11	0	0	0	0	0	0	0	0	0	11.43	0	0	0	0	0	0	14	0	0	0	10.85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9891	6.46	0	0	0	0	35.97	0	0	1.22	0	0	0	0	0	0	0	0	0	0	0	0	3.82	0	0	0	0.33	0	0	0	0.49	0	0	0	0	0.63	0	20.74	2.2	0	0	0	0	0	0	0	0	0	24.58	0	0	0	0	236.84	148.3	0	38.35	0	0	0	0	10.65	0	0	0	0	0	0
79083	12.84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.86	0	0	0	9.21	0	0	0	0	0	0	0	0	0
547	2.86	0	0	1.16	0	2.44	0	0	83.52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.37	0	0	0	6.59	0	0	0	0	0	0	0	0	0.62	0	0	0	0	0	0	0	0	0	6.68	0	2.9	0	0	0	0	0
51091	2.24	0	0	253.39	27.24	0	147.19	0	0	260.11	0	0	136.44	0	0	0	0	0	0	0	0	0	2.13	0	0	0	0	0	0	0	65.76	0	0	0	0	0	0	0	117.36	0	0	0	0	0	0	0	0	18.2	0.81	0	0	0	0	0	0	295.54	0	0	0	0	0	238.55	0.37	0	0	0	170.9
9246	145.05	0	0	0	2.33	4.34	306.79	0	0	0	177.62	86.4	284.93	0	0	0	0	229.6	0	0	454.06	0	129.22	4.91	2.77	0	440.71	0	0	130.62	0	0	19	0	0	194.86	115.19	0	3.99	13.97	27.76	461.57	0	0	0	0	0	0	0	197.67	0	153.95	0	149.05	0	15.37	61.14	0	13.69	25.72	64.03	0	0	14.53	0	0	92.16
55859	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
79070	7.33	0	0	0	0	0	0	4.26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18.04	265.65	0	0	0	0	0	0	0	0	0	0	0	0	0	8.75	0	0	0	20.67	0	0	0	0	0	0	0	0	0	0.88	0
2123	80.49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37.11	0	9.97	0	1255.02	0	0	0	0	58.35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.05	0	0	0	0	0	0	0
9447	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53.86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4038	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52.6	0	0	11.28	9.29	0	0	0	0	0	0	0
1901	3.32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38.86	0	367.54	0	0	0	0	31.2	0	0	0	0	0	0	0	35.47	0	0	0	0	3.19	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10982	70.96	0	65.75	0	0	0.64	0	3.02	0	130.45	0	2.24	0	29.03	0	0	0	0	0	0	0	0	4.92	0	0	0	0.44	0	21.43	33.06	0	20.75	351.03	0	0	0	0	144.99	0	405.38	0.88	0	59.74	0	0	0	0	9.98	0	0	0	0	5.17	10.37	0	48.94	18.14	0	0	0	0	0	0	0	0	8.86	0
2524	1.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	135.46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2149	201.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.02	0	0	0	0	0	0.75	0	0	51.27	47.06	3.42	2.45	0	144.87	0	0	0.7	0	0	4.86	6.74	0	0	0	0	0	0	0	2.05	11.29	0.72	8.94	0	49.19	0	0	0	0	0	1.44	0	0.73	0	2.39	0	0	0	0.33	0	0
10395	31.53	0	26.36	0	0	0	0	0	0	0	0	237.73	0	0	0	0	0	0	0	113.28	7.75	0	9.38	0	0	0	0	0	199.32	0	0	0.67	48.01	0	0	0	0	13.2	0	2.48	22.09	0	0	0	0	0	0	0	0	0	24.62	0	0	0	0	35.49	0	0	0	0	0	0	0	1.53	0	19.4	0
3934	99.73	0	0	346.38	320.13	0	428.73	0	0	0	0	0	0	0	0	214.97	2.89	128.37	0	0	0	0	0	377.48	0	0	0	0	0	63.06	147.36	0	0	188.62	0	444.2	630.15	0	721.73	0	539.58	0	25.92	0	0	201.37	41.19	346.05	0	0	0	0	951.14	0	0	0	18.42	358.17	0	5.24	70.11	0	0	41.69	256.34	0	0
8533	116.49	0	0	0	1.13	213.08	186.54	136.99	0	42.33	0	121.91	0	0	0	0	0	0	2.6	0	0	0	0	0	0	0	0	0	102.76	20.04	0	21.04	0	14.39	0	25.67	282.26	0	208.08	0	79.75	0	0	0	0	0	0	197.6	22.11	0	193.77	0	0	0	0	16.53	0	290.9	0	91.86	0	129.29	0	0	21.79	172.17	0
5732	2.76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	91.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1289	20.04	0	6.47	0	0	3.9	0	0	0	0	0	0	0	0	0	0	0	0	0	177	0	8.01	62.67	0	30.27	5.63	0	0	170.42	4.32	0	26.74	29.33	0	0	0	0	17.51	0	45.47	0	0	2.84	0	0	0.89	0	1.26	0.76	0	101.92	0	0	64.52	88.92	178.96	0	0	9.29	0	0	0.23	0	0	0.07	0.6	0
7345	4.9	0	0	0	57.24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.11	101.34	0	0	0	78.73	0	0	0	0	0	0	0
2207	44.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10630	36.29	0	0	0	0	6.33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30.51	0	0	0	0	0	0	60.28	0	0	0	0	0	0	88.54	0	0	0	0	11.76	0	0	0	0	0	0	0	0	0	75.95	15.12	0	0	28.07	0	0	0	0	0	0	0	0
5920	99.64	499.45	0	0	301.5	0	5.88	0	0	0	0	93.38	0	41.81	0	0	0	0	0	32.83	0	0	9.71	0	0	465.29	0	0	0	164.75	38.19	0	79.69	0	0	470.27	297.63	148.81	0	194.04	203.02	165.41	0	0	0	57.53	253.59	9.08	482.48	0	0	0	0	0	0	0	0	37.15	0	0	66.46	0	0	0	0	0	0
65108	9.18	0	0	29.9	0	0	75.12	0	0	1.62	0	1.16	2.35	1.59	0	0	2.43	59.36	164.17	3.14	1.65	0	32.14	0	0	0	100.65	0	0	3.34	0	52.88	0	1.73	0	0	9.03	218.82	115.7	0	0	1.47	0	28.91	0	75.36	0	0	0	1.75	0	0	0	0	61.23	0	14.28	0	0	0	12.55	0	0	0	12.84	60.99	0
27286	23.58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50.41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	341.92	0	0	0	0	0	0	0	12.24	0	0	0	0	0	4.33	0	39.6	0	0	0	1.08	22.87	0	0	0	0	0	0	0	0	0	0	0
22919	62.02	0	33.6	0	63.01	0	0.63	1.62	0	0	24.68	20.83	21.68	0	0	1.02	0	19.93	0	0	1.02	0	0.56	0	0	0	0	0	1.47	14.24	1.96	0	9.06	0	0	107.99	17.4	0	0	1.86	138.59	0	0	0	0	30.77	0	60.06	0.43	206.21	0	0	129.63	0	108.06	12.16	10.85	49.14	0	23.08	0	0.8	0.95	0	0	2.7	17.64
6624	2.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.36	0	0	0	0	0	0	0	0	0	2.87	0	6.23	0	0	0	0	0	0	0	0	0	0	0	0
775	0.45	0	8.64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.28	140.13	0.4	22.67	0	17.46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.99	27.54	0	0	0	0	0	0	0	0	0	0	0
9766	16.27	0	0	10.46	0	1.91	0	9.01	0	0	0.57	1.34	0	4.62	0	0	3.52	0	75.45	60.2	88.21	0	49.31	0.34	0	29.8	0	0	19.38	13.73	138.79	0	0	0	0	80.4	0	0	17.72	1.29	25.68	0	0.65	1.93	0	9.97	118.4	0	46.12	28.7	0	0	0	0.55	0.81	1.69	0	45.41	0	0	4.37	3.36	0	0	0	8.21	12.39
800	326.24	0	1812.38	0	0	20.78	198.11	0	0	2.02	0	74.42	0.89	1914.14	612.72	0	0	0	0	407.42	865.52	2479.52	671.45	0	2353.94	68.9	10.93	0	206.45	39.12	0	1888.37	476.54	0	1126.28	0	0	1424.64	279.81	664.6	0	0	334.06	0	28.84	0	63.75	0	153.6	0	872.27	0	88.15	822.79	417.95	958.41	0	50.79	431.81	0	111.53	147.04	56.48	0	0	1180.91	78.53
27299	7.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8764	13.11	0	57.92	0	0	0	0	0	0	0	0	9.67	0	0	0	0	0	0	0	0	0	6.88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	212.76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3956	761.93	0	1348.93	0	341.64	16.46	0	0	12.59	201.67	86.33	289.35	0	1462.98	8.71	0	0	1650.42	15.16	2520.67	299.56	1592.25	3701.7	0	1497.05	675.47	0	201.55	7221.05	1129.41	0	5682.39	2180.89	0	752.29	0	126.65	5390.86	16.11	3940.7	597.43	0	766.95	0	0	90.74	436.68	67.67	957.64	88.35	928.5	0	557.19	126.39	733.61	3414.55	0	193.95	2198.85	107.9	13.95	240.46	30.44	24.68	6.97	307.88	892.99
8522	1.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13.86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3902	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
