Bulk_2	1_C01	1_C02	1_C03	1_C08	1_C15	1_C17	1_C18	1_C19	1_C22	1_C23	1_C27	1_C29	1_C30	1_C31	1_C34	1_C37	1_C38	1_C40	1_C41	1_C42	1_C49	1_C51	1_C61	1_C65	1_C67	1_C75	1_C81	2_C03	2_C05	2_C06	2_C07	2_C10	2_C14	2_C15	2_C16	2_C18	2_C19	2_C21	2_C22	2_C23	2_C25	2_C27	2_C29	2_C34	2_C42	2_C49	2_C51	2_C53	2_C55	2_C56	2_C57	2_C59	2_C63	2_C64	2_C67	2_C69	2_C70	2_C71	2_C72	2_C73	2_C74	2_C75	2_C79	2_C86	2_C87	2_C95
26271	19.62	0	0	0	0	0	0	0	0	553.59	111.81	0	0	1.3	0	0	0	0	0	1.28	0	0	2.27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	469.46	0
6782	47.73	0	0	0	79.25	0	0	5.16	0	0.64	780.98	0	0	0	0	0	57.87	29.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.16	0	0	0	0	0	0.89	0	0	0	10.79	0	157.74	6.21	0	0	24.25	0	0	0	0	3.72	0	0	0	0	0	0	0	0	0
57007	93.28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	281.19	0	0	0	0	0	0	0	0	3.3	0	0	10.96	0	46.33	0	0	0	0	30.45	0	0	6.76	8.32	0	0	0	0	0	0	0	0	56.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0
81831	0	0	0	0	16.29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46.25	0	0	0	0	0	0	0	0	0	0	0	0	5.85	51.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5569	5.15	0	0	0	0	0	0	0	0	0	0	0	9.41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.82	0	0	85.69	0	0	0	0	0	0	11.86	0	0	0	0	0	0	0	0	0	0	25.65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1191	4663.62	236.92	21.63	2907.94	16613.24	8694.91	63562.17	2267.15	7338.13	2438.64	3355.01	3483.78	4982.08	28.66	3794.12	158.13	12979.04	2684.71	1117.6	208.63	6.64	14.28	28.42	1340.11	0	1830.96	340.42	0	43.28	3083.56	5720.06	0	1132.25	13894.4	0	8050.78	13087.11	0	203.89	1676.83	8879.03	559.08	590.35	327.25	869.62	4737.83	786.82	3769.51	0	697.72	163.03	494.09	2382.5	2016.99	145.11	1172.54	3755.01	5670.16	2959.3	200.92	1388.14	1248.73	3655.36	2271.2	7466.14	9578.75	2580.81
4261	15.54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.72	0	0	0	0	0	0	0	0	0	0	0	13.01	0	0	4.05	0	0	0	0	0	0	0	0	0	0	0	0	24.78	0	0	0	0	0	74.96	0	0	0	0	0	0	0	0	0	0	0	0.05	0	0
4681	8.66	0	0	0	0	0	0	0	0	0	0	0	0	2.73	0	0	0	0	0	17.42	0	128.11	0	0	19.84	3.79	0	0	6.17	23.68	0	1.84	0	0	0	0	0	75.93	0	7.76	0	0	0	0	0	0	2.65	0	20.94	0	112.49	0	0	0	4.77	13.51	0	0	0	0	0	0	0	0	0	0	0
9610	0.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
54961	6.09	0	0	0	0	34.58	0	0	292.08	0	0	0	0	0	0	0	0	0	0	0	0	1028.5	0	0	0	0	0	0	0	0	0	0	0	0	0	212.31	0	0	0	1.23	0	2.38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	106.36	96.21	0	0	0	0	0	0	0	0	0
10278	0.62	0	0	0	0	0	0	60.44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72.59	0	0	0	0	0	0	47.64	0	0	0	0	0	2.09	1.09	2.73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22836	14.98	0	800.59	0	0	112.05	0	45.26	0	0	0	0	0	403.56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30.65	24.69	0	0	0	0	9.73	28.43	20	0	0	1.88	0	0	0	0	0	41.89	0	0	0	0	1.62	1680.34	0	0	0.53	0.49	0	0	0	0	0	0	0.61	0
3912	219.49	0	500.53	0	0	0	0	0	0	613.8	0	85.72	0	67.71	0	0	0	0	0	38.9	373.56	0	1131.83	0	0	14.9	3.23	0.84	273.24	0	0	261.75	236.29	0	140.57	0	1.69	451.39	219.34	410.23	0	0	377.34	0	0	0	66.09	205.94	796.72	0	228.81	0	2.17	148.45	212.99	178.97	0	0	405.92	0	0	0	0	51.19	4.5	0	0
4250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
51177	0.95	0	0	0	0	0	0	19.26	0	0	0	0	0	10.34	0	0	0	0	19.18	130.84	0	0	0.85	0	0	6.89	0	6.7	79.2	0	0	0	0	0	0	0	0	18.41	12.66	11.3	0	0	0	0	0	0	176.42	6.49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
60489	10.26	0	0	0	0	1.52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.08	0	0	0	0	0	0	0	0	0	0	0	74.91	2.64	5.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10437	171.65	0	0	0	0	4.07	439.13	407.83	8.63	2.6	0	3.53	45.62	0	0	0	15.5	0	10.2	0	0	0	0	156.38	0	0	213.7	0	0	0	0	0	0	14.17	0	0	57.09	0	0	0	316.49	9.63	0	116.92	0	0	221.57	0	0	87.2	0	0	0	0	0	0	0	110.48	0	0	178.67	0	166.18	0	142.4	0	214.26
