Cell	Call
1_C02	Stroma
1_C15	Stroma
1_C27	Stroma
1_C30	Stroma
1_C41	Stroma
1_C42	Stroma
1_C49	Stroma
1_C51	Stroma
1_C65	Stroma
1_C67	Stroma
2_C03	Stroma
2_C05	Stroma
2_C07	Stroma
2_C10	Stroma
2_C15	Stroma
2_C19	Stroma
2_C21	Stroma
2_C22	Stroma
2_C27	Stroma
2_C51	Stroma
2_C53	Stroma
2_C56	Stroma
2_C59	Stroma
2_C63	Stroma
2_C64	Stroma
2_C67	Stroma
2_C71	Stroma
2_C75	Stroma
2_C87	Stroma
1_C01	Epithelial
1_C03	Epithelial
1_C08	Epithelial
1_C17	Epithelial
1_C18	Epithelial
1_C19	Epithelial
1_C22	Epithelial
1_C23	Epithelial
1_C29	Epithelial
1_C31	Epithelial
1_C34	Epithelial
1_C37	Epithelial
1_C38	Epithelial
1_C40	Epithelial
1_C61	Epithelial
1_C75	Epithelial
1_C81	Epithelial
2_C06	Epithelial
2_C14	Epithelial
2_C16	Epithelial
2_C18	Epithelial
2_C23	Epithelial
2_C25	Epithelial
2_C29	Epithelial
2_C34	Epithelial
2_C42	Epithelial
2_C49	Epithelial
2_C55	Epithelial
2_C57	Epithelial
2_C69	Epithelial
2_C70	Epithelial
2_C72	Epithelial
2_C73	Epithelial
2_C74	Epithelial
2_C79	Epithelial
2_C86	Epithelial
2_C95	Epithelial
