"Sampleid" "purity" "ploidy" "Genome.doublings" "Subclonal.genome.fraction" "Purity_wes" "Ploidy_wes" "Purity_snp6" "Ploidy_snp6"
"132" "TCGA-30-1853-01" 1 2.58 1 0.08 0.91 2.52483588005046 NA NA
"147" "TCGA-57-1992-01" 0.87 1.65 0 0.04 0.61 4.70256518907668 0.59 2.26612093155003
"148" "TCGA-57-1993-01" 0.82 4.12 2 0.3 0.69 4.27638910199211 0.47 2.37850257586164
"149" "TCGA-59-2350-01" 0.84 1.71 0 0.02 0.82 1.68270517284727 0.8 1.73743803122545
"150" "TCGA-59-2352-01" 0.67 3.59 1 0.24 0.62 3.56579438336189 0.59 3.74207891970426
"151" "TCGA-59-2363-01" 0.92 1.73 0 0.13 0.88 1.69284380051237 0.81 1.74192442727072
"159" "TCGA-61-2088-01" 0.93 3.21 1 0.03 0.91 3.28993598642118 0.94 3.29071085773892
"160" "TCGA-61-2092-01" 0.93 2.08 0 0.23 0.25 2.05378948918615 0.3 2.09984199110796
"161" "TCGA-61-2096-01" 0.91 1.86 0 0.11 0.86 1.81782213202105 0.81 1.88215339580587
"162" "TCGA-61-2098-01" 0.85 3.34 2 NA 0.77 3.25334220068829 0.72 3.35200816930504
"163" "TCGA-61-2102-01" 0.92 2.57 1 0.14 0.81 2.67943705562651 0.84 2.7498394863785
"164" "TCGA-61-2111-01" NA NA NA NA 0.51 3.44312011780341 NA NA
"165" "TCGA-04-1332-01" 0.5 2.76 1 NA 0.32 2.05433928677791 0.39 2.82989717210103
"168" "TCGA-04-1343-01" 0.61 3.11 1 0.25 0.52 3.07025426093118 0.62 3.117275288905
"180" "TCGA-13-1411-01" 0.39 2.89 1 0.17 0.37 2.9323069042528 0.45 3.00201073948051
"181" "TCGA-13-1412-01" 0.69 2.06 0 0.14 0.61 2.07195158517394 0.75 2.05507463846266
"195" "TCGA-23-1117-01" 0.69 3.31 1 0.26 0.59 3.35085902445861 0.65 3.27271890650561
"196" "TCGA-23-2078-01" 0.6 1.98 0 0.17 0.59 1.94412933429328 0.59 1.99598126638723
"214" "TCGA-24-2035-01" 0.61 1.98 0 0.05 0.61 1.94525458545905 NA NA
"215" "TCGA-24-2280-01" 0.59 3.56 2 0.23 0.5 3.52543938051766 0.6 3.61045442763002
"216" "TCGA-24-2289-01" 0.61 2.54 1 0.07 0.59 2.50671084981449 0.59 2.57421434377764
"217" "TCGA-24-2293-01" 0.39 2.81 1 0.24 0.59 2.55303838441719 0.39 2.75000489569618
"218" "TCGA-24-2298-01" 0.72 2.69 1 0.11 0.69 2.58794788893917 NA NA
"226" "TCGA-25-2042-01" 0.5 1.88 0 0.02 0.56 2.84077536988613 0.59 1.89764665232034
"227" "TCGA-25-2398-01" 0.6 4.21 2 0.18 0.55 4.10143351808795 0.6 4.2929520266261
"228" "TCGA-25-2398-01" 0.6 4.21 2 0.18 0.54 4.15496301417983 0.6 4.2929520266261
"229" "TCGA-25-2401-01" 0.62 1.93 0 0.14 0.59 1.91705861749062 0.59 1.96188826538588
"230" "TCGA-25-2404-01" 0.63 3.04 1 0.24 0.56 3.07556103703536 0.63 3.04550999333854
"231" "TCGA-25-2408-01" 0.79 1.98 0 NA 0.77 1.99494289750834 0.8 1.986944027339
"246" "TCGA-30-1862-01" 0.73 2.51 1 0.08 0.65 2.46693840557476 0.76 2.5233325126163
"248" "TCGA-30-1891-01" 0.78 1.86 0 0.25 0.7 1.83331454053903 0.79 1.84089368814672
"252" "TCGA-31-1959-01" 0.66 1.58 0 0.15 0.38 3.18653856896172 0.64 1.60430415111301
"261" "TCGA-59-2354-01" 0.64 1.84 0 0.07 0.62 1.84758389787385 0.61 1.85320775212606
"264" "TCGA-61-1919-01" 0.66 2.91 1 0.44 0.46 2.81995838628622 0.59 3.05466952567713
"265" "TCGA-61-1998-01" 0.72 1.95 0 0.09 0.39 2.7309465878803 0.42 2.92002011987492
"266" "TCGA-61-2003-01" 0.47 3.66 2 0.14 0.4 3.58120200364684 0.57 3.68562693737801
"267" "TCGA-61-2009-01" 0.57 3.58 2 0.27 0.51 3.42021235138975 NA NA
"268" "TCGA-61-2113-01" 0.49 4.63 2 0.39 0.43 2.89611799985527 0.36 2.89241579833889
"272" "TCGA-04-1335-01" 0.77 1.83 0 0 0.59 1.85921925649175 0.78 1.81568228095938
"273" "TCGA-04-1349-01" 0.76 3.39 1 0.18 0.73 3.32805791885086 0.62 4.27719470403091
"274" "TCGA-04-1361-01" 0.69 1.95 0 0.12 0.66 1.91498226290924 0.74 2.00146890366418
"275" "TCGA-04-1362-01" 0.86 3.15 1 0.42 0.82 3.14588122656797 0.9 3.2007684384838
"288" "TCGA-09-2043-01" 0.88 2.31 1 0.18 0.78 2.30871886869052 0.8 2.28781537554959
"289" "TCGA-09-2045-01" 0.92 2.05 0 NA 0.88 2.02752744953367 0.86 2.07502223247709
"291" "TCGA-10-0931-01" 0.9 1.99 0 0.1 0.83 2.01548433756292 0.85 2.01673027990907
"292" "TCGA-10-0934-01" 0.91 2.02 0 0.01 0.85 2.02190402462892 0.95 2.02091156092617
"300" "TCGA-13-0751-01" 0.93 2.84 1 0.1 0.92 2.8082267305505 NA NA
"301" "TCGA-13-0755-01" 0.84 1.87 0 0.03 0.8 1.87793800268935 0.77 1.87211660128256
"304" "TCGA-13-0791-01" 0.89 2.12 0 0.13 0.79 4.28834686509188 0.62 3.43893814676692
"307" "TCGA-13-0804-01" 0.86 1.81 0 0.05 0.79 1.80838771083709 0.77 1.78799475814208
"317" "TCGA-13-1403-01" 0.93 2.08 0 0.07 0.84 2.06086159240715 0.88 2.12919015444732
"322" "TCGA-13-1500-01" 0.74 1.86 0 0.16 0.62 3.72213527353206 0.71 1.87481089532384
"323" "TCGA-13-1510-01" 0.89 1.96 0 0.25 0.84 3.84330885116066 NA NA
"326" "TCGA-20-0996-01" NA NA NA NA 0.15 1.90137776811427 0.15 1.69594784270532
"330" "TCGA-23-1118-01" 0.79 1.84 0 0.36 0.51 5.09959280478838 0.59 1.96247734480004
"331" "TCGA-23-1124-01" 0.76 3.28 1 0.31 0.7 3.30996866526165 0.7 3.38007695367304
"332" "TCGA-23-2072-01" 0.81 2.69 1 0.04 0.76 2.70144700145667 0.79 2.71292048313976
"333" "TCGA-23-2081-01" 0.91 1.87 0 0.09 0.8 1.83158473652232 0.84 1.82946224949347
"342" "TCGA-24-1431-01" 0.9 2.81 1 0.25 0.88 2.7076513360819 NA NA
"345" "TCGA-24-1467-01" 0.77 3.98 1 0.09 0.78 4.00501718233553 0.71 4.01565177292498
"352" "TCGA-24-2024-01" 0.91 1.79 0 0 0.85 1.75852361148133 0.93 1.79385992313856
"353" "TCGA-24-2038-01" 0.97 2.22 0 0.01 0.9 2.20269221376913 0.92 2.20375975115535
"354" "TCGA-24-2254-01" 0.81 1.72 0 0.11 0.76 1.74829800134028 0.79 1.74927987551122
"355" "TCGA-24-2271-01" 0.68 1.88 0 0.06 0.64 1.86550124789019 0.65 1.87352729104664
"359" "TCGA-25-2397-01" 0.91 1.98 0 0.1 0.86 1.9651799212019 0.8 2.0087841599816
"360" "TCGA-25-2397-01" 0.91 1.98 0 0.1 0.86 1.96636309565267 0.8 2.0087841599816
"361" "TCGA-25-2409-01" 0.72 3.79 1 NA 0.69 3.8137939087551 0.71 3.80605318859897
"374" "TCGA-59-2355-01" 0.79 1.85 0 0.42 0.7 1.88449889310856 0.62 4.75095720170858
"375" "TCGA-61-1728-01" 0.86 3.53 1 0.63 0.39 3.21081456475471 0.4 3.12665017653238
"378" "TCGA-61-2008-01" 0.78 3.13 1 0.2 0.69 3.08389568192742 0.78 3.15562960004005
"379" "TCGA-61-2017-01" 0.88 1.98 0 NA 0.57 2.96095612282211 0.52 2.95466235027605
"380" "TCGA-61-2095-01" 0.62 1.97 0 0.02 NA NA 0.5 2.04491902553515
"381" "TCGA-61-2097-01" 0.61 3.2 1 0.05 0.55 3.26282987261101 0.6 3.20657745815577
"382" "TCGA-61-2101-01" 0.82 3.23 2 0.19 0.79 3.11786788727902 0.73 3.27295871567271
"383" "TCGA-61-2109-01" 0.91 1.91 0 0.07 0.85 1.89921183587371 0.86 1.91365058567637
"384" "TCGA-61-2110-01" 0.86 1.79 0 0.04 0.53 2.57987463232765 0.51 2.54531158946258
"385" "TCGA-04-1336-01" 0.92 1.86 0 0.12 0.88 1.78913263387105 0.85 1.86623560721342
"386" "TCGA-04-1346-01" 0.54 3.4 2 0.18 0.49 3.28504683174113 0.49 3.37293203372842
"387" "TCGA-04-1348-01" 0.76 1.93 0 0.02 0.71 1.92291412908912 0.87 1.95792178063024
"395" "TCGA-09-2051-01" 0.74 3.04 1 0.32 0.58 3.74046521107038 0.61 3.18823456258133
"399" "TCGA-13-0760-01" 0.81 2.68 1 0.13 0.75 2.77125352388327 0.75 2.77096648371431
"402" "TCGA-13-0795-01" 0.48 3.74 2 0.4 0.44 3.80003137410741 0.39 3.93582480652574
"415" "TCGA-13-2060-01" 0.65 3.38 1 0.17 0.57 3.30444375117359 0.65 3.42569184066752
"419" "TCGA-20-0991-01" 0.53 3.59 1 0.48 0.43 3.78072128324309 NA NA
"421" "TCGA-23-1123-01" 0.8 2.93 1 0.1 0.77 2.9545205090723 0.81 2.96920671407558
"422" "TCGA-23-2077-01" 0.47 6.14 2 0.38 0.59 2.71294461052675 0.55 3.78747918122184
"423" "TCGA-23-2079-01" 0.79 2.51 1 0.16 0.73 2.46619124980563 0.75 2.51446744590974
"424" "TCGA-23-2084-01" 0.69 3.25 1 0.12 0.77 2.77473467242968 0.71 3.25990157818786
"442" "TCGA-24-1927-01" 0.82 1.91 0 0.11 0.71 1.92259711948458 NA NA
"443" "TCGA-24-1930-01" 0.66 2.97 1 NA 0.59 2.90775565421924 0.68 2.96217782524089
"445" "TCGA-24-2026-01" 0.76 5.1 2 NA 0.69 4.90800539411416 0.46 3.21634667785049
"446" "TCGA-24-2261-01" 0.74 2.77 1 0.31 0.66 2.84972201028549 0.68 2.92747580946707
"447" "TCGA-24-2262-01" 0.7 2.02 0 0.06 0.72 1.98016956104641 0.67 2.06585004713077
"448" "TCGA-24-2267-01" 0.57 2.84 1 0.27 0.59 2.91521139486269 0.59 2.83922444415983
"449" "TCGA-24-2281-01" 0.5 3.4 1 0.25 0.49 3.60550235410805 0.51 3.5092373030247
"450" "TCGA-24-2288-01" 0.52 4.47 2 0.43 0.59 3.03463918075934 0.59 3.05649736947206
"451" "TCGA-24-2290-01" 0.81 3.66 1 0.17 0.71 3.61983043777376 0.88 3.6487150495433
"456" "TCGA-25-2391-01" 0.88 1.87 0 0.1 0.83 1.81759194085161 0.81 1.87419932052511
"457" "TCGA-25-2392-01" 0.59 4.71 2 0.18 0.64 4.64378816235343 0.57 4.76545178171913
"458" "TCGA-25-2396-01" 0.86 3.07 1 0.22 0.79 3.15377950700144 0.9 3.09067441699967
"459" "TCGA-25-2396-01" 0.86 3.07 1 0.22 0.79 3.16825289271327 0.9 3.09067441699967
"460" "TCGA-25-2399-01" 0.84 1.94 0 0.12 0.74 1.90704622713473 0.78 1.94118530000291
"473" "TCGA-29-2427-01" 0.69 1.8 0 0.02 0.69 1.80456637037504 0.64 1.80589915039442
"474" "TCGA-29-2428-01" 0.78 3.17 1 NA 0.74 3.0947711618372 0.75 3.16602068498444
"481" "TCGA-31-1950-01" 0.48 3.13 1 0.32 0.29 4.46668714631722 0.43 3.11545215010545
"482" "TCGA-31-1953-01" 0.64 3.77 1 0.07 0.57 3.64584452247011 0.72 3.77064132425628
"497" "TCGA-57-1994-01" 0.75 3.29 1 0.45 0.59 3.49632900016242 0.57 3.60328728554341
"498" "TCGA-59-2348-01" 0.63 3.41 1 0.11 0.61 3.29010241197421 0.59 3.42087836780013
"499" "TCGA-59-2348-01" 0.63 3.41 1 0.11 0.67 3.33637057943578 0.59 3.42087836780013
"500" "TCGA-59-2349-01" NA NA NA NA 0.4 2.05483729596818 0.46 2.05445905048805
"501" "TCGA-59-2351-01" 0.5 3 1 0.26 0.48 2.98099167176029 0.5 3.03641938351548
"503" "TCGA-61-1724-01" 0.87 1.76 0 NA 0.7 3.47741276432628 0.84 1.76469739156099
"518" "TCGA-61-1995-01" 0.83 1.68 0 0.12 0.8 1.64250066985742 0.77 1.66149982620163
"519" "TCGA-61-2000-01" 0.92 2.15 0 0.09 0.62 3.024572838148 0.87 2.14710958536744
"520" "TCGA-61-2002-01" 0.69 1.92 0 0.05 0.65 1.8888716481359 0.7 1.93023089360044
"521" "TCGA-61-2012-01" 0.58 2.9 1 0.12 0.59 2.86825377909465 0.59 2.8640813669212
"522" "TCGA-61-2016-01" 0.88 1.74 0 0.17 0.71 3.39273481829203 0.75 3.44835689160346
"523" "TCGA-61-2018-01" 0.75 1.9 0 0.04 0.6 1.86189895254048 0.71 1.88501716125878
"524" "TCGA-61-2087-01" 0.93 1.82 0 0.05 0.88 1.85058632128015 0.91 1.80187952988594
"525" "TCGA-61-2094-01" 0.6 1.79 0 0.16 0.37 3.48627176403594 0.51 1.7905484889882
"526" "TCGA-61-2104-01" 0.75 3.05 1 0.19 0.71 2.95039585448628 0.75 3.08881602346545
