"Sampleid" "purity" "ploidy" "Genome.doublings" "Subclonal.genome.fraction" "Purity_wes" "Ploidy_wes" "Purity_snp6" "Ploidy_snp6"
"4" "TCGA-04-1347-01" 0.94 4.29 2 0.46 0.84 4.19326542598367 0.81 4.36853864107412
"11" "TCGA-04-1371-01" 0.89 3 1 0.16 0.81 3.06089330933301 0.9 3.07235614011702
"25" "TCGA-09-2050-01" 0.96 1.75 0 0.09 0.91 1.75289653589351 0.87 1.76085563848099
"34" "TCGA-13-0757-01" 0.77 4.01 2 0.45 0.72 3.90093066148901 0.67 3.96673563004467
"38" "TCGA-13-0800-01" 0.8 3.59 1 0.36 0.69 3.66125843512887 0.67 3.62197454199627
"49" "TCGA-13-1477-01" 0.91 2.07 0 0.06 0.75 2.07306210127246 NA NA
"50" "TCGA-13-1487-01" 0.85 2.68 1 0.25 0.82 2.58160989143764 NA NA
"52" "TCGA-13-1492-01" 0.99 1.79 0 0.07 0.93 1.79292309330808 NA NA
"54" "TCGA-13-1505-01" 0.87 1.92 0 0.81 0.74 3.76762419559357 NA NA
"62" "TCGA-23-1022-01" 0.89 3 1 0.19 0.88 2.95392411280968 0.79 3.01687266082922
"68" "TCGA-23-1110-01" 0.97 3.12 1 0.35 0.89 3.10119518258697 NA NA
"93" "TCGA-24-2019-01" 0.85 2.91 1 0.27 0.76 3.01011726898162 0.83 2.95199400891947
"96" "TCGA-24-2030-01" 0.86 3.05 1 0.09 0.8 2.91943350165803 0.88 3.07910440540953
"97" "TCGA-24-2033-01" 0.82 3.32 1 0.05 0.76 3.21577303531418 0.86 3.32986974960904
"98" "TCGA-24-2036-01" 0.94 1.91 0 NA 0.9 1.91622874812293 0.91 1.91418237500454
"99" "TCGA-24-2260-01" 0.84 3.15 1 0.28 0.77 3.17452668826022 0.76 3.27638156133166
"100" "TCGA-24-2295-01" 0.89 4.45 2 0.14 0.95 4.53426904661635 0.45 2.60060172233699
"107" "TCGA-25-1319-01" 0.89 3.34 1 0.04 0.9 3.42359459779278 0.95 3.45337622484421
"116" "TCGA-25-2393-01" 0.84 2.88 1 0.08 0.81 2.97891438679541 0.82 2.93933231435391
"117" "TCGA-25-2400-01" 0.83 3.72 2 0.51 0.73 4.02689941783521 0.7 4.00027991519966
