"","SampleId","Purity_ABS","Ploidy_ABS","Purity_tumor_only","Ploidy_tumor_only","Purity_matching_normal","Ploidy_matching_normal"
"4","TCGA-04-1347-01",0.94,4.29,0.85,4.19186485252538,0.85,4.19186485252538
"11","TCGA-04-1371-01",0.89,3,0.81,3.0606056711349,0.81,3.0606056711349
"25","TCGA-09-2050-01",0.96,1.75,0.93,1.75303684271155,0.93,1.75303684271155
"34","TCGA-13-0757-01",0.77,4.01,0.71,3.89963203727523,0.71,3.89963203727523
"38","TCGA-13-0800-01",0.8,3.59,0.72,3.6649836675359,0.72,3.6649836675359
"49","TCGA-13-1477-01",0.91,2.07,0.75,2.07361074915945,0.75,2.07361074915945
"50","TCGA-13-1487-01",0.85,2.68,0.82,2.5816356656737,0.82,2.5816356656737
"52","TCGA-13-1492-01",0.99,1.79,0.93,1.79265194689798,0.93,1.79265194689798
"54","TCGA-13-1505-01",0.87,1.92,0.73,3.69537880454571,0.73,3.69537880454571
"62","TCGA-23-1022-01",0.89,3,0.86,2.94865320419238,0.86,2.94865320419238
"68","TCGA-23-1110-01",0.97,3.12,0.9,3.10118757810795,0.9,3.10118757810795
"93","TCGA-24-2019-01",0.85,2.91,0.72,3.00775194516034,0.72,3.00775194516034
"96","TCGA-24-2030-01",0.86,3.05,0.79,2.91943066194816,0.79,2.91943066194816
"97","TCGA-24-2033-01",0.82,3.32,0.77,3.22311962862186,0.77,3.22311962862186
"98","TCGA-24-2036-01",0.94,1.91,0.9,1.91636799945411,0.9,1.91636799945411
"99","TCGA-24-2260-01",0.84,3.15,0.78,3.17605682967589,0.78,3.17605682967589
"100","TCGA-24-2295-01",0.89,4.45,0.95,4.53383927836143,0.95,4.53383927836143
"107","TCGA-25-1319-01",0.89,3.34,0.86,3.42428241976555,0.86,3.42428241976555
"116","TCGA-25-2393-01",0.84,2.88,0.81,2.97899901363068,0.81,2.97899901363068
"117","TCGA-25-2400-01",0.83,3.72,0.72,4.05279519472174,0.72,4.05279519472174
"132","TCGA-30-1853-01",1,2.58,0.92,2.52491197773732,0.92,2.52491197773732
"147","TCGA-57-1992-01",0.87,1.65,0.67,3.23849326612524,0.67,3.23849326612524
"148","TCGA-57-1993-01",0.82,4.12,0.71,4.27540644650021,0.71,4.27540644650021
"149","TCGA-59-2350-01",0.84,1.71,0.83,1.68266777184634,0.83,1.68266777184634
"150","TCGA-59-2352-01",0.67,3.59,0.64,3.5663347216553,0.64,3.5663347216553
"151","TCGA-59-2363-01",0.92,1.73,0.9,1.69254125754375,0.9,1.69254125754375
"159","TCGA-61-2088-01",0.93,3.21,0.87,3.29072995129647,0.87,3.29072995129647
"160","TCGA-61-2092-01",0.93,2.08,0.26,2.05386894281481,0.26,2.05386894281481
"161","TCGA-61-2096-01",0.91,1.86,0.87,1.81679216527818,0.87,1.81679216527818
"162","TCGA-61-2098-01",0.85,3.34,0.79,3.2531348189684,0.79,3.2531348189684
"163","TCGA-61-2102-01",0.92,2.57,0.85,2.65596334604237,0.85,2.65596334604237
"164","TCGA-61-2111-01",NA,NA,0.51,3.41012969052446,0.51,3.41012969052446
"165","TCGA-04-1332-01",0.5,2.76,0.32,2.49867941257764,0.32,2.49867941257764
"168","TCGA-04-1343-01",0.61,3.11,0.56,3.07033279115721,0.56,3.07033279115721
"180","TCGA-13-1411-01",0.39,2.89,0.39,2.9289114489939,0.39,2.9289114489939
"181","TCGA-13-1412-01",0.69,2.06,0.65,2.06465733531698,0.65,2.06465733531698
"195","TCGA-23-1117-01",0.69,3.31,0.61,3.39269459745363,0.61,3.39269459745363
"196","TCGA-23-2078-01",0.6,1.98,0.67,3.00418568995954,0.67,3.00418568995954
"214","TCGA-24-2035-01",0.61,1.98,0.61,1.94526161878793,0.61,1.94526161878793
"215","TCGA-24-2280-01",0.59,3.56,0.53,3.53590901006107,0.53,3.53590901006107
"216","TCGA-24-2289-01",0.61,2.54,0.59,2.50925131006267,0.59,2.50925131006267
"217","TCGA-24-2293-01",0.39,2.81,0.55,2.5740738257325,0.55,2.5740738257325
"218","TCGA-24-2298-01",0.72,2.69,0.72,2.58661622905576,0.72,2.58661622905576
"226","TCGA-25-2042-01",0.5,1.88,0.51,2.8569556459839,0.51,2.8569556459839
"227","TCGA-25-2398-01",0.6,4.21,0.57,4.10804040515669,0.57,4.10804040515669
"228","TCGA-25-2398-01",0.6,4.21,0.57,4.10804040515669,0.56,4.1537630005883
"229","TCGA-25-2398-01",0.6,4.21,0.56,4.1537630005883,0.57,4.10804040515669
"230","TCGA-25-2398-01",0.6,4.21,0.56,4.1537630005883,0.56,4.1537630005883
"231","TCGA-25-2401-01",0.62,1.93,0.59,1.92308483265253,0.59,1.92308483265253
"232","TCGA-25-2404-01",0.63,3.04,0.59,3.07020480945672,0.59,3.07020480945672
"233","TCGA-25-2408-01",0.79,1.98,0.78,1.99496256166525,0.78,1.99496256166525
"248","TCGA-30-1862-01",0.73,2.51,0.68,2.46686418213225,0.68,2.46686418213225
"250","TCGA-30-1891-01",0.78,1.86,0.72,1.83326742954018,0.72,1.83326742954018
"254","TCGA-31-1959-01",0.66,1.58,0.4,3.18657948063945,0.4,3.18657948063945
"263","TCGA-59-2354-01",0.64,1.84,0.64,1.84750360913619,0.64,1.84750360913619
"266","TCGA-61-1919-01",0.66,2.91,0.5,2.87013085773987,0.5,2.87013085773987
"267","TCGA-61-1998-01",0.72,1.95,0.39,2.73732702418243,0.39,2.73732702418243
"268","TCGA-61-2003-01",0.47,3.66,0.44,3.58720224923061,0.44,3.58720224923061
"269","TCGA-61-2009-01",0.57,3.58,0.52,3.38908567240979,0.52,3.38908567240979
"270","TCGA-61-2113-01",0.49,4.63,0.48,2.42861767848277,0.48,2.42861767848277
"274","TCGA-04-1335-01",0.77,1.83,0.62,1.85921762408168,0.62,1.85921762408168
"275","TCGA-04-1349-01",0.76,3.39,0.71,3.32673767528835,0.71,3.32673767528835
"276","TCGA-04-1361-01",0.69,1.95,0.69,1.91159460148247,0.69,1.91159460148247
"277","TCGA-04-1362-01",0.86,3.15,0.8,3.14582759086451,0.8,3.14582759086451
"290","TCGA-09-2043-01",0.88,2.31,0.82,2.30864965427449,0.82,2.30864965427449
"291","TCGA-09-2045-01",0.92,2.05,0.89,2.027517146594,0.89,2.027517146594
"293","TCGA-10-0931-01",0.9,1.99,0.83,2.01547986416648,0.83,2.01547986416648
"294","TCGA-10-0934-01",0.91,2.02,0.86,2.02187628123285,0.86,2.02187628123285
"302","TCGA-13-0751-01",0.93,2.84,0.91,2.80752832415024,0.91,2.80752832415024
"303","TCGA-13-0755-01",0.84,1.87,0.83,1.87818488907475,0.83,1.87818488907475
