"","SampleId","Purity_ABS","Ploidy_ABS","Purity_tumor_only","Ploidy_tumor_only","Purity_matching_normal","Ploidy_matching_normal"
"306","TCGA-13-0791-01",0.89,2.12,0.79,4.28978861804036,0.79,4.28978861804036
"309","TCGA-13-0804-01",0.86,1.81,0.82,1.80838147652954,0.82,1.80838147652954
"319","TCGA-13-1403-01",0.93,2.08,0.88,2.06127233061349,0.88,2.06127233061349
"324","TCGA-13-1500-01",0.74,1.86,0.74,1.87273698394391,0.74,1.87273698394391
"325","TCGA-13-1510-01",0.89,1.96,0.81,3.84507681685039,0.81,3.84507681685039
"328","TCGA-20-0996-01",NA,NA,0.15,1.89434585544207,0.15,1.89434585544207
"332","TCGA-23-1118-01",0.79,1.84,0.51,5.08126496534309,0.51,5.08126496534309
"333","TCGA-23-1124-01",0.76,3.28,0.73,3.30808010499761,0.73,3.30808010499761
"334","TCGA-23-2072-01",0.81,2.69,0.78,2.70138366154766,0.78,2.70138366154766
"335","TCGA-23-2081-01",0.91,1.87,0.8,1.83142524583486,0.8,1.83142524583486
"344","TCGA-24-1431-01",0.9,2.81,0.86,2.70762140954463,0.86,2.70762140954463
"347","TCGA-24-1467-01",0.77,3.98,0.76,4.00500929549585,0.76,4.00500929549585
"354","TCGA-24-2024-01",0.91,1.79,0.85,1.75852361148133,0.85,1.75852361148133
"355","TCGA-24-2038-01",0.97,2.22,0.91,2.20274077900559,0.91,2.20274077900559
"356","TCGA-24-2254-01",0.81,1.72,0.78,1.74921891951197,0.78,1.74921891951197
"357","TCGA-24-2271-01",0.68,1.88,0.68,1.86553222817314,0.68,1.86553222817314
"361","TCGA-25-2397-01",0.91,1.98,0.87,1.96502525640998,0.87,1.96502525640998
"362","TCGA-25-2397-01",0.91,1.98,0.87,1.96502525640998,0.88,1.96661381516071
"363","TCGA-25-2397-01",0.91,1.98,0.88,1.96661381516071,0.87,1.96502525640998
"364","TCGA-25-2397-01",0.91,1.98,0.88,1.96661381516071,0.88,1.96661381516071
"365","TCGA-25-2409-01",0.72,3.79,0.7,3.81376811972018,0.7,3.81376811972018
"378","TCGA-59-2355-01",0.79,1.85,0.73,1.88436453479082,0.73,1.88436453479082
"379","TCGA-61-1728-01",0.86,3.53,0.39,3.21255967028143,0.39,3.21255967028143
"382","TCGA-61-2008-01",0.78,3.13,0.69,3.08377094981141,0.69,3.08377094981141
"383","TCGA-61-2017-01",0.88,1.98,0.55,2.96053555280792,0.55,2.96053555280792
"385","TCGA-61-2097-01",0.61,3.2,0.56,3.26259625277538,0.56,3.26259625277538
"386","TCGA-61-2101-01",0.82,3.23,0.79,3.1246632155013,0.79,3.1246632155013
"387","TCGA-61-2109-01",0.91,1.91,0.87,1.89921296264259,0.87,1.89921296264259
"388","TCGA-61-2110-01",0.86,1.79,0.53,2.58002981129694,0.53,2.58002981129694
"389","TCGA-04-1336-01",0.92,1.86,0.89,1.78904963942807,0.89,1.78904963942807
"390","TCGA-04-1346-01",0.54,3.4,0.52,3.28537438904576,0.52,3.28537438904576
"391","TCGA-04-1348-01",0.76,1.93,0.72,1.92446590546945,0.72,1.92446590546945
"399","TCGA-09-2051-01",0.74,3.04,0.63,3.54511166447542,0.63,3.54511166447542
"403","TCGA-13-0760-01",0.81,2.68,0.77,2.77307725293,0.77,2.77307725293
"406","TCGA-13-0795-01",0.48,3.74,0.46,3.8212691936238,0.46,3.8212691936238
"419","TCGA-13-2060-01",0.65,3.38,0.58,3.30366611411943,0.58,3.30366611411943
"423","TCGA-20-0991-01",0.53,3.59,0.51,3.51773612578585,0.51,3.51773612578585
"425","TCGA-23-1123-01",0.8,2.93,0.78,2.95262581630622,0.78,2.95262581630622
"426","TCGA-23-2077-01",0.47,6.14,0.56,2.83384617721324,0.56,2.83384617721324
"427","TCGA-23-2079-01",0.79,2.51,0.75,2.46614721084547,0.75,2.46614721084547
"428","TCGA-23-2084-01",0.69,3.25,0.75,2.77407302663873,0.75,2.77407302663873
"446","TCGA-24-1927-01",0.82,1.91,0.73,1.907472145364,0.73,1.907472145364
"447","TCGA-24-1930-01",0.66,2.97,0.6,2.90777243385555,0.6,2.90777243385555
"449","TCGA-24-2026-01",0.76,5.1,0.69,4.90730632741614,0.69,4.90730632741614
"450","TCGA-24-2261-01",0.74,2.77,0.68,2.84969896631562,0.68,2.84969896631562
"451","TCGA-24-2262-01",0.7,2.02,0.75,1.98017231599568,0.75,1.98017231599568
"452","TCGA-24-2267-01",0.57,2.84,0.56,2.93194745580578,0.56,2.93194745580578
"453","TCGA-24-2281-01",0.5,3.4,0.5,3.62762901280855,0.5,3.62762901280855
"454","TCGA-24-2288-01",0.52,4.47,0.61,3.02042039790774,0.61,3.02042039790774
"455","TCGA-24-2290-01",0.81,3.66,0.75,3.61889487790325,0.75,3.61889487790325
"460","TCGA-25-2391-01",0.88,1.87,0.85,1.81781852779725,0.85,1.81781852779725
"461","TCGA-25-2392-01",0.59,4.71,0.64,4.64358039663623,0.64,4.64358039663623
"462","TCGA-25-2396-01",0.86,3.07,0.8,3.15743858849656,0.8,3.15743858849656
"463","TCGA-25-2396-01",0.86,3.07,0.8,3.15743858849656,0.81,3.16816577508027
"464","TCGA-25-2396-01",0.86,3.07,0.81,3.16816577508027,0.8,3.15743858849656
"465","TCGA-25-2396-01",0.86,3.07,0.81,3.16816577508027,0.81,3.16816577508027
"466","TCGA-25-2399-01",0.84,1.94,0.76,1.90771351056389,0.76,1.90771351056389
"479","TCGA-29-2427-01",0.69,1.8,0.71,1.80465586496932,0.71,1.80465586496932
"480","TCGA-29-2428-01",0.78,3.17,0.78,3.09476809647608,0.78,3.09476809647608
"487","TCGA-31-1950-01",0.48,3.13,0.34,3.00481077381942,0.34,3.00481077381942
"488","TCGA-31-1953-01",0.64,3.77,0.58,3.64587574533231,0.58,3.64587574533231
"503","TCGA-57-1994-01",0.75,3.29,0.6,3.49715188341775,0.6,3.49715188341775
"504","TCGA-59-2348-01",0.63,3.41,0.62,3.29137054462711,0.62,3.29137054462711
"505","TCGA-59-2348-01",0.63,3.41,0.62,3.29137054462711,0.68,3.33659923293227
"506","TCGA-59-2348-01",0.63,3.41,0.68,3.33659923293227,0.62,3.29137054462711
"507","TCGA-59-2348-01",0.63,3.41,0.68,3.33659923293227,0.68,3.33659923293227
"508","TCGA-59-2349-01",NA,NA,0.41,2.05560288635129,0.41,2.05560288635129
"509","TCGA-59-2351-01",0.5,3,0.51,2.97710470877177,0.51,2.97710470877177
"511","TCGA-61-1724-01",0.87,1.76,0.74,3.47857015169684,0.74,3.47857015169684
"526","TCGA-61-1995-01",0.83,1.68,0.8,1.64283880954785,0.8,1.64283880954785
"527","TCGA-61-2000-01",0.92,2.15,0.6,3.03289762080493,0.6,3.03289762080493
"528","TCGA-61-2002-01",0.69,1.92,0.66,1.88884137533482,0.66,1.88884137533482
"529","TCGA-61-2012-01",0.58,2.9,0.61,2.84958308551437,0.61,2.84958308551437
"530","TCGA-61-2016-01",0.88,1.74,0.82,1.70675922113004,0.82,1.70675922113004
"531","TCGA-61-2018-01",0.75,1.9,0.6,1.86193485830172,0.6,1.86193485830172
"532","TCGA-61-2087-01",0.93,1.82,0.9,1.85059321900055,0.9,1.85059321900055
"533","TCGA-61-2094-01",0.6,1.79,0.37,3.48355490013217,0.37,3.48355490013217
"534","TCGA-61-2104-01",0.75,3.05,0.73,2.95047151272159,0.73,2.95047151272159
