Reduced gene expression subtype signatures											
Gene Symbol	CLASS	DIRECTION	Chromosome name	Band	Description						
FUT2	DIF	UP	19	q13.33	"fucosyltransferase 2 (secretor status included) [Source:HGNC Symbol;Acc:4013]"						
STEAP3	DIF	UP	2	q14.2	"STEAP family member 3 [Source:HGNC Symbol;Acc:24592]"						
LCN2	DIF	UP	9	q34.11	"lipocalin 2 [Source:HGNC Symbol;Acc:6526]"						
HRBL	DIF	UP	---	---	---						
MYO5C	DIF	UP	15	q21.2	"myosin VC [Source:HGNC Symbol;Acc:7604]"						
ALS2CL	DIF	UP	3	p21.31	"ALS2 C-terminal like [Source:HGNC Symbol;Acc:20605]"						
ANXA1	DIF	UP	9	q21.13	"annexin A1 [Source:HGNC Symbol;Acc:533]"						
PTGER2	DIF	UP	14	q22.1	"prostaglandin E receptor 2 (subtype EP2), 53kDa [Source:HGNC Symbol;Acc:9594]"						
MVP	DIF	UP	16	p11.2	"major vault protein [Source:HGNC Symbol;Acc:7531]"						
SSH3	DIF	UP	11	q13.2	"slingshot homolog 3 (Drosophila) [Source:HGNC Symbol;Acc:30581]"						
C1ORF116	DIF	UP	1	q32.2	"chromosome 1 open reading frame 116 [Source:HGNC Symbol;Acc:28667]"						
DTX4	DIF	UP	11	q12.1	"deltex homolog 4 (Drosophila) [Source:HGNC Symbol;Acc:29151]"						
MLPH	DIF	UP	2	q37.3	"melanophilin [Source:HGNC Symbol;Acc:29643]"						
TNFRSF14	DIF	UP	1	p36.32	"tumor necrosis factor receptor superfamily, member 14 (herpesvirus entry mediator) [Source:HGNC Symbol;Acc:11912]"						
MGLL	DIF	UP	3	q21.3	"monoglyceride lipase [Source:HGNC Symbol;Acc:17038]"						
CLU	DIF	UP	8	p21.1	"clusterin [Source:HGNC Symbol;Acc:2095]"						
TMEM24	DIF	UP	---	---	---						
SLC37A1	DIF	UP	21	q22.3	"solute carrier family 37 (glycerol-3-phosphate transporter), member 1 [Source:HGNC Symbol;Acc:11024]"						
RIN1	DIF	UP	11	q13.2	"Ras and Rab interactor 1 [Source:HGNC Symbol;Acc:18749]"						
SCGB2A2	DIF	UP	11	q12.3	"secretoglobin, family 2A, member 2 [Source:HGNC Symbol;Acc:7050]"						
FBXO5	IMR	UP	6	q25.2	"F-box protein 5 [Source:HGNC Symbol;Acc:13584]"						
LAG3	IMR	UP	12	p13.31	"lymphocyte-activation gene 3 [Source:HGNC Symbol;Acc:6476]"						
AIM2	IMR	UP	1	q23.2	"absent in melanoma 2 [Source:HGNC Symbol;Acc:357]"						
CXCL10	IMR	UP	4	q21.1	"chemokine (C-X-C motif) ligand 10 [Source:HGNC Symbol;Acc:10637]"						
IFI30	IMR	UP	19	p13.11	"interferon, gamma-inducible protein 30 [Source:HGNC Symbol;Acc:5398]"						
CASP1	IMR	UP	11	q22.3	"caspase 1, apoptosis-related cysteine peptidase (interleukin 1, beta, convertase) [Source:HGNC Symbol;Acc:1499]"						
ECGF1	IMR	UP	---	---	---						
LAIR1	IMR	UP	19	q13.42	"leukocyte-associated immunoglobulin-like receptor 1 [Source:HGNC Symbol;Acc:6477]"						
IL21R	IMR	UP	16	p12.1	"interleukin 21 receptor [Source:HGNC Symbol;Acc:6006]"						
SLC31A2	IMR	UP	9	q32	"solute carrier family 31 (copper transporters), member 2 [Source:HGNC Symbol;Acc:11017]"						
PDZK1IP1	IMR	UP	1	p33	"PDZK1 interacting protein 1 [Source:HGNC Symbol;Acc:16887]"						
SAMSN1	IMR	UP	21	q11.2	"SAM domain, SH3 domain and nuclear localization signals 1 [Source:HGNC Symbol;Acc:10528]"						
FCER1G	IMR	UP	1	q23.3	"Fc fragment of IgE, high affinity I, receptor for; gamma polypeptide [Source:HGNC Symbol;Acc:3611]"						
RARRES3	IMR	UP	11	q12.3	"retinoic acid receptor responder (tazarotene induced) 3 [Source:HGNC Symbol;Acc:9869]"						
ADAMDEC1	IMR	UP	8	p21.2	"ADAM-like, decysin 1 [Source:HGNC Symbol;Acc:16299]"						
SLA	IMR	UP	8	q24.22	"Src-like-adaptor [Source:HGNC Symbol;Acc:10902]"						
LAPTM5	IMR	UP	1	p35.2	"lysosomal protein transmembrane 5 [Source:HGNC Symbol;Acc:29612]"						
UBE2L6	IMR	UP	11	q12.1	"ubiquitin-conjugating enzyme E2L 6 [Source:HGNC Symbol;Acc:12490]"						
KMO	IMR	UP	1	q43	"kynurenine 3-monooxygenase (kynurenine 3-hydroxylase) [Source:HGNC Symbol;Acc:6381]"						
CIITA	IMR	UP	16	p13.13	"class II, major histocompatibility complex, transactivator [Source:HGNC Symbol;Acc:7067]"						
GIMAP5	IMR	UP	7	q36.1	"GTPase, IMAP family member 5 [Source:HGNC Symbol;Acc:18005]"						
APOBEC3G	IMR	UP	22	q13.1	"apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 3G [Source:HGNC Symbol;Acc:17357]"						
PCOLCE	MES	UP	7	q22.1	"procollagen C-endopeptidase enhancer [Source:HGNC Symbol;Acc:8738]"						
MXRA8	MES	UP	1	p36.33	"matrix-remodelling associated 8 [Source:HGNC Symbol;Acc:7542]"						
MAPRE2	MES	UP	18	q12.1	"microtubule-associated protein, RP/EB family, member 2 [Source:HGNC Symbol;Acc:6891]"						
CXCR7	MES	UP	2	q37.3	"chemokine (C-X-C motif) receptor 7 [Source:HGNC Symbol;Acc:23692]"						
MMP14	MES	UP	14	q11.2	"matrix metallopeptidase 14 (membrane-inserted) [Source:HGNC Symbol;Acc:7160]"						
PDPN	MES	UP	1	p36.21	"podoplanin [Source:HGNC Symbol;Acc:29602]"						
PLEKHO1	MES	UP	1	q21.2	"pleckstrin homology domain containing, family O member 1 [Source:HGNC Symbol;Acc:24310]"						
TPST1	MES	UP	7	q11.21	"tyrosylprotein sulfotransferase 1 [Source:HGNC Symbol;Acc:12020]"						
MARCKS	MES	UP	6	q21	"myristoylated alanine-rich protein kinase C substrate [Source:HGNC Symbol;Acc:6759]"						
CALD1	MES	UP	7	q33	"caldesmon 1 [Source:HGNC Symbol;Acc:1441]"						
TMEPAI	MES	UP	---	---	---						
NNMT	MES	UP	11	q23.2	"nicotinamide N-methyltransferase [Source:HGNC Symbol;Acc:7861]"						
GAS7	MES	UP	17	p13.1	"growth arrest-specific 7 [Source:HGNC Symbol;Acc:4169]"						
WIPF1	MES	UP	2	q31.1	"WAS/WASL interacting protein family, member 1 [Source:HGNC Symbol;Acc:12736]"						
FSCN1	MES	UP	7	p22.1	"fascin homolog 1, actin-bundling protein (Strongylocentrotus purpuratus) [Source:HGNC Symbol;Acc:11148]"						
NBL1	MES	UP	1	p36.13	"neuroblastoma, suppression of tumorigenicity 1 [Source:HGNC Symbol;Acc:7650]"						
LAMB1	MES	UP	7	q31.1	"laminin, beta 1 [Source:HGNC Symbol;Acc:6486]"						
CACNA1C	MES	UP	12	p13.33	"calcium channel, voltage-dependent, L type, alpha 1C subunit [Source:HGNC Symbol;Acc:1390]"						
DLC1	MES	UP	8	p22	"deleted in liver cancer 1 [Source:HGNC Symbol;Acc:2897]"						
RUNX1	MES	UP	21	q22.12	"runt-related transcription factor 1 [Source:HGNC Symbol;Acc:10471]"						
KIAA0247	MES	UP	14	q24.1	"KIAA0247 [Source:HGNC Symbol;Acc:19956]"						
PALLD	MES	UP	4	q32.3	"palladin, cytoskeletal associated protein [Source:HGNC Symbol;Acc:17068]"						
RHOBTB3	MES	UP	5	q15	"Rho-related BTB domain containing 3 [Source:HGNC Symbol;Acc:18757]"						
NUAK1	MES	UP	12	q23.3	"NUAK family, SNF1-like kinase, 1 [Source:HGNC Symbol;Acc:14311]"						
MYO1B	MES	UP	2	q32.3	"myosin IB [Source:HGNC Symbol;Acc:7596]"						
COL5A1	MES	UP	9	q34.3	"collagen, type V, alpha 1 [Source:HGNC Symbol;Acc:2209]"						
COL8A1	MES	UP	3	q12.1	"collagen, type VIII, alpha 1 [Source:HGNC Symbol;Acc:2215]"						
SRPX2	MES	UP	X	q22.1	"sushi-repeat containing protein, X-linked 2 [Source:HGNC Symbol;Acc:30668]"						
LGALS1	MES	UP	22	q13.1	"lectin, galactoside-binding, soluble, 1 [Source:HGNC Symbol;Acc:6561]"						
CTGF	MES	UP	6	q23.2	"connective tissue growth factor [Source:HGNC Symbol;Acc:2500]"						
DDR2	MES	UP	1	q23.3	"discoidin domain receptor tyrosine kinase 2 [Source:HGNC Symbol;Acc:2731]"						
EVI2A	MES	UP	17	q11.2	"ecotropic viral integration site 2A [Source:HGNC Symbol;Acc:3499]"						
MCAM	MES	UP	11	q23.3	"melanoma cell adhesion molecule [Source:HGNC Symbol;Acc:6934]"						
FN1	MES	UP	2	q35	"fibronectin 1 [Source:HGNC Symbol;Acc:3778]"						
KDELC1	MES	UP	13	q33.1	"KDEL (Lys-Asp-Glu-Leu) containing 1 [Source:HGNC Symbol;Acc:19350]"						
STCH	MES	UP	---	---	---						
F2R	MES	UP	5	q13.3	"coagulation factor II (thrombin) receptor [Source:HGNC Symbol;Acc:3537]"						
COPS3	PRO	UP	17	p11.2	"COP9 constitutive photomorphogenic homolog subunit 3 (Arabidopsis) [Source:HGNC Symbol;Acc:2239]"						
EFS	PRO	UP	14	q11.2	"embryonal Fyn-associated substrate [Source:HGNC Symbol;Acc:16898]"						
MARCKSL1	PRO	UP	1	p35.1	"MARCKS-like 1 [Source:HGNC Symbol;Acc:7142]"						
RAD51AP1	PRO	UP	12	p13.32	"RAD51 associated protein 1 [Source:HGNC Symbol;Acc:16956]"						
PKIA	PRO	UP	8	q21.12	"protein kinase (cAMP-dependent, catalytic) inhibitor alpha [Source:HGNC Symbol;Acc:9017]"						
SALL2	PRO	UP	14	q11.2	"sal-like 2 (Drosophila) [Source:HGNC Symbol;Acc:10526]"						
NETO2	PRO	UP	16	q12.1	"neuropilin (NRP) and tolloid (TLL)-like 2 [Source:HGNC Symbol;Acc:14644]"						
